artist,_id
Big K.R.I.T.,640216f33c1777e846d9bcd2
Big K.R.I.T.,64061eb6f3780a5c866ea444
Big Sean,640297cf191b1ff16b157549
Jay Sean,640297cf191b1ff16b1581d1
J Dilla,640216f33c1777e846da0bf3
Eazy-E,640216f43c1777e846da6979
Travie McCoy,640216f33c1777e846d96d4f
Akon,640216f33c1777e846d9d7e6
EPMD,640297cf191b1ff16b156063
Rihanna,640297cf191b1ff16b157241
Sage Francis,640297cf191b1ff16b15a84c
Lady Gaga,640297ce191b1ff16b146c4c
Jedi Mind Tricks,640297ce191b1ff16b14f4ea
The Last Emperor,640216f33c1777e846d9f6fa
The Last Emperor,640216f33c1777e846da3b97
A Tribe Called Quest,640216f33c1777e846d953e8
The Pharcyde,640216f33c1777e846da2201
The LOX,640297cf191b1ff16b151e61
Tonedeff,640216f33c1777e846d9d2a1
Nick Cannon,640297ce191b1ff16b148b04
MC Paul Barman,640216f33c1777e846d99d18
Three 6 Mafia,640216f33c1777e846d9e77e
Elton John,640216f33c1777e846d9cb4d
Eagles,640216f33c1777e846d93797
Led Zeppelin,640216f33c1777e846da03a3
Roots Manuva,640297ce191b1ff16b143487
The Beatles,640216f33c1777e846da462e
Z-Ro,640297cf191b1ff16b151f26
The Doors,64088cc85ccd393439b1902f
Radiohead,640297ce191b1ff16b148a58
Murs,640297ce191b1ff16b14dd6c
Murs,640297cf191b1ff16b15c345
Made Men,64061eb6f3780a5c866f2ae7
Made Men,64061eb6f3780a5c866f32ff
Hot Boys,640216f33c1777e846d984db
Edward Maya,640216f33c1777e846da2427
Radio Killer,64061eb6f3780a5c866f6049
Yung Joc,640297ce191b1ff16b1405c5
Black Milk,640216f33c1777e846da05e2
Black Milk,64061eb6f3780a5c866ecfd5
The Doobie Brothers,640216f33c1777e846da01e6
Major Lazer,640297cf191b1ff16b1513d0
Cali Swag District,640216f33c1777e846d963b5
Leonard Cohen,640297ce191b1ff16b140ecd
Leonard Cohen,640297cf191b1ff16b152ac8
Blind Melon,640216f33c1777e846d969a7
Lost Boyz,640216f33c1777e846d9313f
Green Day,640297cf191b1ff16b15a4a8
Guns N' Roses,64061eb6f3780a5c866f1927
Curren$y,640216f33c1777e846da4d9a
King Los,640297ce191b1ff16b14ab4b
King Los,640297ce191b1ff16b14ccb2
King Los,640297ce191b1ff16b150743
Tyga,640216f33c1777e846da128f
NB Ridaz,640216f33c1777e846d9f101
Lynyrd Skynyrd,640216f33c1777e846d9c1ff
Misfits,640216f33c1777e846d96ee7
Viktor Vaughn,640216f33c1777e846d921ef
Animal Collective,64088cc85ccd393439b1a128
Chingy,640216f33c1777e846d9e42f
Chingy,640216f33c1777e846d9ea24
Gorillaz,64088cc85ccd393439b104a8
D-Lo,640216f33c1777e846da3bde
D-Lo,640297cf191b1ff16b156d9c
D-Lo,64061eb6f3780a5c866e70fc
E-40,640216f33c1777e846d97925
E-40,640216f33c1777e846d99e08
Mac Dre,640297ce191b1ff16b142737
Mike Jones,640216f33c1777e846da4a53
Mike Jones,640297ce191b1ff16b14c870
Mike Jones,640297cf191b1ff16b15343d
Fiona Apple,640216f33c1777e846d9b967
Rappin' 4-Tay,640216f33c1777e846d9e441
The National,640216f33c1777e846d972ad
O.C.,640297ce191b1ff16b141d65
Sublime,640216f33c1777e846d9b153
OG Ron C,640297ce191b1ff16b142729
OG Ron C,640297cf191b1ff16b15d9ad
Digital Underground,640216f33c1777e846d957ae
Lil Scrappy,640216f33c1777e846da3007
Deltron 3030,640216f33c1777e846d9ef3a
Coolio,640216f33c1777e846d993dd
Craig David,640216f33c1777e846d9aa34
Dylan Thomas,64088cc85ccd393439b0fea7
Dylan Thomas,64088cc85ccd393439b134ec
Pharoahe Monch,640216f33c1777e846d93cca
William Butler Yeats,640297cf191b1ff16b157b75
Earl Sweatshirt,640216f33c1777e846da41ce
Slum Village,640216f33c1777e846d9e270
Trey Songz,640216f33c1777e846d93905
Ying Yang Twins,640216f33c1777e846da4dc4
Sade,640297cf191b1ff16b15af64
Sammy Adams,640216f33c1777e846da4d66
Chris Brown,640297cf191b1ff16b153944
Chris Brown,64061eb6f3780a5c866e9187
Chris Brown,64061eb6f3780a5c866f4663
Fort Minor,640216f33c1777e846da02bf
King Geedorah,640216f33c1777e846d9d2d5
Emily Dickinson,64061eb6f3780a5c866f8bb1
Tinie Tempah,640216f33c1777e846d92b68
Blur,640297ce191b1ff16b145277
Ruff Ryders,640216f33c1777e846d92eb1
Virtuoso,640216f33c1777e846d91d9c
Virtuoso,640216f33c1777e846d93cce
Virtuoso,64088cc85ccd393439b167ff
Nikki Giovanni,64088cc85ccd393439b0f436
Gravediggaz,640216f33c1777e846d97dfa
Fashawn,640216f33c1777e846d9c157
Fashawn,64088cc85ccd393439b18550
The Rolling Stones,640297ce191b1ff16b145258
Bloodhound Gang,640216f33c1777e846da341b
Rumi,64061eb6f3780a5c866e94dc
Lil Jon,640216f33c1777e846d9b812
Morgan Page,640216f33c1777e846d92b87
Trick Daddy,640216f33c1777e846d99d2b
The White Stripes,640216f33c1777e846d94ce7
"Tyler, The Creator",640216f33c1777e846da20fd
Wayne Wonder,640216f43c1777e846da5c35
Styles P,640216f43c1777e846da57ff
Styles P,640297ce191b1ff16b141112
Styles P,640297cf191b1ff16b15d472
Styles P,64061eb6f3780a5c866eed68
Phoenix,640216f33c1777e846d9912e
Phoenix,64061eb6f3780a5c866e9f80
MGMT,640297ce191b1ff16b147cf5
Ramones,640216f33c1777e846d99b1a
Vado,640216f33c1777e846da11ce
Vado,640297ce191b1ff16b14b731
Vado,640297ce191b1ff16b14ff8b
DJ Mister Cee,640216f33c1777e846d99eb6
Bee Gees,640216f33c1777e846d956e7
Murphy Lee,640216f33c1777e846d93a2e
Kurtis Blow,640297ce191b1ff16b149c1c
Doris Day,640216f33c1777e846d996e0
Grandmaster Melle Mel,640216f33c1777e846d95951
Kings of Leon,640216f33c1777e846d99da5
La Roux,64088cc85ccd393439b1a053
Rhymefest,64061eb6f3780a5c866f8520
Andre Nickatina,640297ce191b1ff16b149594
Ginuwine,640216f33c1777e846da242c
Mac Miller,640216f33c1777e846d9a821
William Blake,640297ce191b1ff16b1454b7
William Blake,640297cf191b1ff16b15b10d
Milli Vanilli,640216f33c1777e846d9205e
Frank Sinatra,640216f33c1777e846da3a44
Ricky Martin,640216f43c1777e846da66f8
Eurythmics,640216f33c1777e846d93c26
Michael Jackson,640297ce191b1ff16b150e8e
Pete Rock,640216f33c1777e846d95aaf
Pete Rock,640216f33c1777e846d9c714
Madonna,640297ce191b1ff16b1475e1
William Shakespeare,640297cf191b1ff16b156b3e
Bob Marley & The Wailers,640297cf191b1ff16b15a1c4
Obie Trice,640216f33c1777e846da0ad1
Monie Love,64061eb6f3780a5c866ecd50
Marley Marl,640216f43c1777e846da60e4
Unk,640297cf191b1ff16b1575d5
Peter Fox,64088cc85ccd393439b136de
Ma,640a728b4faf717a5e7db953
Ma,640ccfce4f918c3c72c6429e
Sleepy Brown,640297ce191b1ff16b14eafb
Diggy,640216f33c1777e846d958ae
Killah Priest,640216f33c1777e846d99e37
Killah Priest,64061eb6f3780a5c866f3920
Shop Boyz,640216f33c1777e846d983a9
Soulja Boy,640216f33c1777e846d9bb8d
Tim Dog,64061eb6f3780a5c866f03a3
T-Pain,640297ce191b1ff16b140d17
Spose,640216f33c1777e846d9c50d
"""Weird Al"" Yankovic",640297ce191b1ff16b146916
Pharrell Williams,640216f33c1777e846d9a989
Tarrus Riley,640216f33c1777e846d9e7ae
The Kinks,640216f33c1777e846d93b14
D.P.G.,64061eb6f3780a5c866eac30
The Firm,64061eb6f3780a5c866ed233
The Firm,64061eb6f3780a5c866f6c09
Exile,640216f33c1777e846d93898
Exile,640216f33c1777e846da5418
Exile,640297ce191b1ff16b14a28f
Exile,64061eb6f3780a5c866ed3c1
Exile,64088cc85ccd393439b10c2a
Exile,64088cc85ccd393439b1823c
Boosie Badazz,640216f33c1777e846d94648
Boosie Badazz,64088cc85ccd393439b13680
Boosie Badazz,64088cc85ccd393439b15260
Far East Movement,640297cf191b1ff16b157183
Doug E. Fresh & The Get Fresh Crew,640216f33c1777e846d953cc
Girl Talk,640297ce191b1ff16b14ea8a
Kardinal Offishall,640216f33c1777e846d9df83
Kardinal Offishall,640216f33c1777e846da21be
Kardinal Offishall,640297cf191b1ff16b15aa44
Freddie Gibbs,640216f33c1777e846d9b1b4
The Lonely Island,640216f33c1777e846d9a429
Depeche Mode,640297ce191b1ff16b141fa6
Marvin Gaye,640216f33c1777e846da2182
Gil Scott-Heron,640216f33c1777e846d94ad8
Tony Touch,640216f33c1777e846da4e03
Tony Touch,64088cc85ccd393439b10f53
CYNE,640216f33c1777e846da515b
Sufjan Stevens,640216f33c1777e846d980bf
Redman,640216f33c1777e846d91c07
Redman,64088cc85ccd393439b16cd5
Drastic,64061eb6f3780a5c866f0f31
Alanis Morissette,640216f33c1777e846d92d53
TLC,640216f43c1777e846da615d
The High & Mighty,640216f33c1777e846da3f00
OldWorlDisorder,640216f33c1777e846d96fb3
B.J. Thomas,640216f33c1777e846d9c6c2
Justin Timberlake,640297cf191b1ff16b15998e
Krizz Kaliko,640216f33c1777e846d94eb2
Krizz Kaliko,64061eb6f3780a5c866f118a
Yelawolf,640216f33c1777e846d979e3
Bad Meets Evil,640216f33c1777e846da49ba
Joni Mitchell,640216f33c1777e846d96cb2
Invincible,640297ce191b1ff16b143d61
Mr. Lucci,640297ce191b1ff16b150c0a
Soul Khan,640297ce191b1ff16b141dbc
Soul Khan,64061eb6f3780a5c866ea389
Britney Spears,640216f33c1777e846d9bb90
Nadia Ackerman,64088cc85ccd393439b170d8
Mr. Mike,640297ce191b1ff16b14a8b2
Mr. Mike,640297ce191b1ff16b14f3db
Mr. Mike,640297cf191b1ff16b156481
OneRepublic,640297ce191b1ff16b149470
XV,64061eb6f3780a5c866f196c
Bishop Lamont,640216f33c1777e846d9d649
Bishop Lamont,640297cf191b1ff16b154f39
Blu,640297ce191b1ff16b145b72
Blu,640297ce191b1ff16b149ac4
Blu,640297cf191b1ff16b1594b5
Blu,64061eb6f3780a5c866e73ea
Blu,64061eb6f3780a5c866e8e70
Blu,64061eb6f3780a5c866ee4bf
Blu,64088cc85ccd393439b13cc2
Blu,64088cc85ccd393439b1500f
Blu,64088cc85ccd393439b1c529
Young Buck,640216f33c1777e846d994c0
Swedish House Mafia,640216f33c1777e846da0c16
Lil Cuete,640216f33c1777e846d94c0c
Lil Cuete,640216f33c1777e846da26e5
Kesha,640216f33c1777e846d9a530
Evidence,640216f33c1777e846d93365
Evidence,640216f33c1777e846d9f085
Evidence,640216f43c1777e846da6244
Evidence,64061eb6f3780a5c866edff9
MC Serch,640216f33c1777e846d997de
Lyrics Born,640297ce191b1ff16b1418aa
Sway & King Tech,640216f33c1777e846d9e36d
k-os,640216f33c1777e846da0f17
MC Hammer,640216f33c1777e846d955e3
Mr. SOS,640297ce191b1ff16b143c16
Bizarre,640216f33c1777e846d9c12b
Bizarre,640216f33c1777e846da1864
Bizarre,640297ce191b1ff16b141902
Bizarre,64088cc85ccd393439b12de7
Bizarre,64088cc85ccd393439b1c6ab
Bizarre,640ccfce4f918c3c72c641e3
Keri Hilson,640216f33c1777e846da1e1a
Mr. Cheeks,640297ce191b1ff16b1457f3
Binary Star,640216f33c1777e846da24c7
Edan,640216f33c1777e846da4780
Edan,640216f43c1777e846da5bab
Plies,640297ce191b1ff16b14fc7a
Mike Posner,640216f33c1777e846da2f08
C.I.A.,640297cf191b1ff16b152621
Cage,640216f33c1777e846d95b70
Cage,640216f33c1777e846d97d5d
Cage,640216f33c1777e846d98dc9
Cage,640216f33c1777e846da3c56
Cage,64061eb6f3780a5c866ecc24
Dev,640297ce191b1ff16b1406e2
El-P,640216f33c1777e846d9e258
Lewis Carroll,640216f33c1777e846da47db
