artist_name,artist_id,artist_popularity,artist_genres
A-Bombs,4kBausFQScYhduOw095cqP,4,[]
A-Bomb,7CrZu8TX6x3r1jebljA4hP,1,[]
A.Bombay,4zp06wijy0ce3G5rpfrBgP,4,[]
A$AP ANT,45m1IiS45uD1HcPlYkNWKj,64,"['baltimore hip hop', 'drill', 'hip hop', 'rap', 'underground hip hop', 'vapor trap']"
A$AP Twelvyy,0tPjSrb43a58uznKru1k2P,58,"['rap', 'underground hip hop']"
Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ,59,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']"
A-Trak,3TaUSUXn41GixL7zbvrIDt,63,"['canadian electronic', 'disco house', 'electro house', 'turntablism']"
A-Trick,4IR7Q0Fqnx1jC3oiHz4TBW,35,[]
A-Trak,43NbAflMu2EEPziIsqnxJe,7,[]
A-Wax,4uUpfGMXZlncCRFtvUzh3O,45,"['hyphy', 'west coast trap']"
A-Wall,56OjNTX2bkrdGcB0staUOV,61,['bedroom pop']
A Wax,6TrCNuN1rKqEd996EfPkyc,24,['bay area hip hop']
"A-YEON,차희",6RXnuZteIlFrCADfWjcEPR,12,[]
A-YEON,5hWK63iafJeDWBEZP4ClWV,3,[]
Days to Days,5MiUBGl75EISyepC5epepD,25,[]
A Day,3sIAPly4hyXPKf0ExuLJa9,2,['thai indie']
Remember Hymn,48olHAf8mlPz30XBcZaStC,7,[]
Driveways,4OuSiJSnuRsK0dTM0dtm1R,47,"['anthem emo', 'pop punk']"
Gouge Away,1Gi5tHYi0ptGG0G3tX9PkU,34,"['diy emo', 'dreamo', 'florida hardcore', 'indie punk', 'modern hardcore', 'modern melodic hardcore']"
dayaway,6doiARNekKDdYtgBXIE5tX,32,[]
DDSilence,62lDUeGzd5DLE8cJCzluDs,28,[]
Vingt Heures Trente,0EvHtXKsSyNB5wdSzZF5IY,5,[]
Long Hours,7tfgnEcyzqAiClLBZHKsT3,4,[]
Duster,5AyEXCtu3xnnsTGCo4RVZh,71,['slowcore']
Dipsters,6ecRTw3MqVztQbkuwBCI0F,54,[]
The Distillers,7MlyHuGRHi31yYlrttDqgT,51,"['punk', 'skate punk']"
Auxie,6OvQflvq8PWTVxwq2Yu4p3,16,[]
Issoe,6UT2rD6KiCFS0sWu6lYMKR,19,[]
Auxie,3tTt6TqqhK3cWUjWWJOnQM,7,[]
A Dozen Black Roses,78KsFuLArtxpYfjXYMmAb9,16,['metallic hardcore']
A Dozen Times Crazy,3JczJNu6DwAbzR21GoPfwV,8,[]
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,82,"['dance pop', 'hip hop', 'pop', 'pop rap']"
Austin Farwell,3gfeKrOBLlmoaUXfGJzmS5,64,[]
Will Ferrell,7xF6Psrf6yNOBkB9jpMRa0,52,['hollywood']
Celestial Conscience,0UG5sCzTJoQXp7RvjoypkI,40,['acoustic guitar cover']
Spiritual Concepts,6FhOqTnCaT3K3q05l7TfFA,41,[]
Concepts,2dh5p2HiAAAPznJZUNQoSO,29,"['post-post-hardcore', 'post-screamo']"
Rhenzy Feliz,2as15AH2BTrPk8v4gyElmr,62,[]
DesiFrenzy,7gfgcUaGKOoCfKt1Yoi92E,47,[]
Frazey Ford,3w6sr0v1PArSe6JAwqk8Bl,56,"['folk', 'indie folk', 'lilith', 'new americana', 'singer-songwriter']"
A Fúria Do Açúcar,5GYrvjuI3tkQFRiCIKEZuc,21,[]
La Furia del Bravo,0CwDMNmupPq7JSl4uxPWV3,49,['norteno-sax']
Furacão 2000,22nkIVS7afh6A7hdd9Lze0,54,"['funk carioca', 'funk das antigas', 'funk ostentacao']"
Ghost,1Qp56T7n950O3EGMsSl81D,78,"['hard rock', 'metal']"
Ghost and Pals,3Avni6DLpoxtanND8mG5t8,59,"['otacore', 'pixel']"
ghost/\/ghoul,3GqdgrX9OqOF1rM8OfRjkZ,52,"['dark trap', 'underground hip hop']"
The Byrds,1PCZpxHJz7WAMF8EEq8bfc,60,"['art rock', 'beatlesque', 'blues rock', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
The Barden Bellas,2BaKphge9AdjZIxQqv7WoQ,58,"['a cappella', 'hollywood', 'post-teen pop']"
The Bearded Bard,3T01vB3bXWHTjLYf5WP0mm,41,[]
A.C. Newman,0QldGXwclr0chJkP91RRWX,32,['vancouver indie']
Nic Newsham,0SZiN9fNPCRoJ20Vxductk,26,[]
"David ""Fathead"" Newman",5OPNYwuIto3q4ac46rIIZC,23,['jazz saxophone']
A.G.,4thsoee1SA3GbbPofv6tZE,43,"['boom bap', 'hardcore hip hop']"
A.G.O,5SeNiJVjU56de5iLf0XbwK,47,[]
AG,1LnSphbpnUcwWa2p9TQmi4,30,[]
A. Hunt,7sxu41SWrNz2ndyXMXMvNi,18,[]
A Human Named David,4qHLl2ZU6n3HVKV0wFm0gL,2,[]
A.Human,26G9KXKd2m4yspenYjsctk,1,[]
A.G.,4thsoee1SA3GbbPofv6tZE,43,"['boom bap', 'hardcore hip hop']"
A.I. The Anomaly,3PoVfuLf8nvX4HLntiLTUa,38,"['buffalo hip hop', 'christian trap']"
A.I.G.,4W91zWkx3syrUDACiK5Jxh,10,"['bronx hip hop', 'wu fam']"
A.L,7xYRnqTLtjhEP9pcoOdALa,26,[]
A.L.T. And The Lost Civilization,4pZvHlvLV5er0s4rfQ6m5A,22,[]
A.L.,7I4UeF0f6UYxwd7MLdeDkH,13,[]
O.A.S.,1aoMIhif29oGaZGwQJ1oTt,47,[]
S.O.A.,3vWCEgyvt84zXAzySux9Ef,34,"['dc hardcore', 'hardcore punk', 'punk', 'straight edge', 'thrash core']"
S-O-S,2gCaDku2tBQpAjIsczW6wI,22,[]
A!M,3LXVbHkeT4efTtXVMt3SpH,13,[]
A.S.A.P.,2sO0qR4tUMN08dbYOqUVKp,7,[]
A.Z,09IkKCW5ZFMM7O09j641Ku,2,[]
RAEDY,4xeIXkA9fl2gegj9YIfJtQ,37,[]
Bradley Riddle,52dEgQZjyA9H9YPAgQo2eD,31,[]
R3ady,7Dgi79cPwVtjnngOpRHPOE,24,[]
Famous Addonis,7lvtdRE6ljhSY5mspyXNeW,21,['scream rap']
ADMISSIONS,1ubCv2G2Cec1jieoOWEwZX,7,[]
Famous Addonis,2NLVpWbmcF4eiQqWKX0Bif,1,[]
Adnan Senses,3cVYOxG4nq0Grh5er8ZKkk,37,['arabesk']
Adnan Ali,0iFTgkSjp5WBTbElQqgjXg,11,[]
Adnan,1e5UYrofQ5jPn0glTztzes,28,[]
Adolphe Adam,71VUVLmoTKKYfIugkavMeS,47,"['early romantic era', 'french opera', 'french romanticism']"
Pisse,5rtJUzDnPO5m2cDubKH5u3,54,[]
Adolf Nomura,0iDqn417kRnYSjbUAkibvu,42,['chill breakcore']
Adolfo Troncoso,0nzreYFkPcXN0YBaYICKds,33,[]
Adolfo Ortiz,23nxzbjc7ACO0SGRVM324i,20,['corridos tumbados']
Adolfo Fernandez,1t6o7Jf0j0HicWCNBgaOUz,13,[]
Bossa,2zl7Hs6CM8FC2aoQibqk16,56,[]
Bossa Nova Covers,6lkrkVSqgzJZz2jguafSAy,66,['bossa nova cover']
Bossa,1c7g2IlcGxfR51B2axtFbC,45,[]
Ado,6mEQK9m2krja6X1cfsAjfl,76,['japanese teen pop']
Hadar Adora,2HdmDZZKSZQPSpyKDb0T7w,31,[]
ADORA,0Ymiodu1YzvWwqq528sWiW,48,[]
Adria,1lQWeaYJoV1M81FBVk0Cic,6,[]
Adrian Coly,2XnemPdUKzthyhXV9k8rpF,37,[]
Croell,2jMviokIIk0zT936PVqxW1,36,[]
Crowell,1YDZLsdFDJFxEVMAi9F3OA,22,[]
Hadar Adora,2HdmDZZKSZQPSpyKDb0T7w,31,[]
Praise and Worship Orchestra,2hWqRifOFNpSRKhygf6EbK,47,['instrumental worship']
Praise and Worship,07MOqUaJ2WqGGHQlpcz9H3,44,[]
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,74,"['danish pop', 'pop', 'scandipop']"
lungskull,2wvTwsc93H5xfsHE6QK1nl,52,"['glitchcore', 'sigilkore']"
Lujavo,5QCGlnijOcNxsXXNzZkcWL,59,['mexican edm']
Adrian Crush,6JXnwSE0mtI3eQCIUhcNWd,11,[]
Adrian Crutchfield,4Ji3SC3eZTPuDsR1MMJeiS,13,[]
Adriana Evans,6sCf6HW9zBhLN64XC8tRdv,31,"['neo soul', 'smooth soul', 'urban contemporary']"
Aveline Evan,3Wrv7jhidzGqxmx2bmubem,36,[]
evans,3Dm30k7Otucd2Yfq7V1mQ6,28,[]
Foster The People,7gP3bB2nilZXLfPHJhMdvc,73,"['indietronica', 'modern rock', 'rock']"
Foster,6vCIRD06VaQwwaZS0TqiCz,55,"['lo-fi chill', 'sad lo-fi', 'sad rap']"
Forester,3d13oWvwmjcodRr3NzdArc,55,['tropical house']
Adrian Gallardo,5jRgihy7wz3PwjfdjGCJgm,28,[]
Aidan Gallagher,292emK3cj8L8xsfWuPlejv,42,['latin viral pop']
Adrian Gelini,2e7I76DQdkG9uNolZWtny8,32,[]
Adriano Pappalardo,6Y1DRYxFMdahQG4L5W7j5p,40,"['classic italian pop', 'italian adult pop']"
Rocco Palladino,3gTKlamoFhZeUOFykWBouS,43,[]
Davide Palladin,5NKYpROtVAHu5iudIQSs8z,40,[]
ADVENT,6fOfSV7KcxCMt1Gol5DdIv,30,[]
Adventurer,5d0oJmM0pl53UfUTSnWl4E,33,['progressive post-hardcore']
Advent Birmingham,2DTvpTHC0r3HvD6GW4BjSp,21,['roots worship']
Adventure Time,3Op7D6tFVJCOHW6EAV0ck1,62,[]
Adventurer,5d0oJmM0pl53UfUTSnWl4E,33,['progressive post-hardcore']
