artist_name,artist_id,artist_popularity,artist_genres
Vox,60Kk09rRUEo9AXWKFcp51x,14,[]
Vox Vixen,1bD9Gr3h364hNKuCxvSU6n,45,[]
Vosai,7u4uMBxwuDZsN7wGxzdiGw,51,"['bass trap', 'traprun']"
soviss,3I7fppVkKfv4oYUPLo1pKI,52,[]
Voxtrot,7b697TI9p2abLzSo3eJTKW,45,"['austindie', 'indie pop', 'indie rock', 'stomp and holler']"
vixorite,4F34lD0PcdOHJVn4Eko18U,46,[]
Volkor X,5Us4fLalowFjzrjC85k4Xq,40,"['darksynth', 'spacewave', 'synthwave']"
Brock,0Ai6AfyHUiBw0uQKESpXF2,47,[]
Croell,2jMviokIIk0zT936PVqxW1,36,[]
brook(e),1VEX0MeLsiGvEq2OYP9hri,29,[]
VOILÀ,6NnBBumbcMYsaPTHFhPtXD,61,"['alt z', 'la pop', 'social media pop']"
Bossalova,4JXUnImsKl7XbjQge1FDve,27,[]
Bossa Nova Covers,6lkrkVSqgzJZz2jguafSAy,66,['bossa nova cover']
Voyager,4nvRxWe5SwOuTDQZ500nzo,42,"['atmosphere', 'background music', 'chill out', 'focus']"
Voyager,16fltNcwTM5V9rnxIlcha4,39,"['australian metal', 'deep progressive rock', 'prog metal']"
Voyager,2mrD45obicHhmdlQ1UjSsN,21,[]
Vox Vixen,1bD9Gr3h364hNKuCxvSU6n,45,[]
Vox Clamantis,2o4fP24SuANxgJSKLStc8p,32,['baltic choir']
voXXclub,1MTZLkTHs5s3jUV5ezuSIu,50,"['neue volksmusik', 'partyschlager', 'schlager', 'volkspop']"
Widowspeak,5ZW7HlSuZz8ng2X21cXbdP,49,"['brooklyn indie', 'chillwave']"
Wopdell,70hvjoetKXmDuhpU0tf1MC,26,[]
Vroudenspil,7jarLTx5jTbcix5XFQKoHJ,23,"['medieval rock', 'pirate']"
Vudu,3isUF0bzSMzypiwg4Pk3FC,24,[]
Vudu,5TZXmoNjnuJnOU9lcmrt0q,22,[]
Vuducru,5vNv3PGJXFcGbwCjlHcqpx,33,['workout product']
Wyred,3Dp3IXxXKQOsc8jIzA5Kvm,29,[]
Greid,7MfIsSNVI6Tk3Q6ChNM0B1,24,[]
WEIRDOS,5VE9R88WunuXsRgn6JJSs7,25,[]
Vulgar Conqueror,4C4nf4RPDnq63Rdqh6gHIQ,7,[]
Vulgar nasty eagle,2Jhf9luY6Ncw9lFJzfJFPQ,3,[]
Vulgar Display,3vNSBsbIJoxhGqHouw4eGn,5,['texas hardcore']
Vulf,1kkjXmcMmibTegsw0JtDwv,67,[]
Vulfpeck,7pXu47GoqSYRajmBCjxdD6,65,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Funk Wav,4A0TivfinfALCAMJqqjZIk,68,[]
Busiswa,3RThWxnHbyN5Hvkr66eYj7,54,['south african house']
Vusi Mahlasela,7tUdxVCUWjTPf3Ic90eWDJ,31,"['afropop', 'south african jazz']"
Boohle,6fHE8xZBCxzwer9DIbOmv4,52,"['afro soul', 'amapiano', 'south african pop', 'south african r&b']"
Volcano Choir,6gAtOqhriLzOzb3Qqmg5kO,43,"['eau claire indie', 'indie folk', 'stomp and holler', 'wisconsin indie']"
Volcano,3JKcaaApz7XPYdTZyKignS,30,['metallic hardcore']
Vulkan,7hUmeNCy16IbVdufW26t2H,33,"['deep progressive rock', 'varmland rock']"
Vybz Kartel,2NUz5P42WqkxilbI8ocN76,66,"['dancehall', 'jamaican dancehall', 'reggae fusion']"
Vybe Village,6WlHbfsgF448dcHWx2bP0P,46,[]
Vybez Music Group,2zEODMVYbwqkhNgYSmfkuI,23,[]
Vuokko Hovatta,7hB4ZDJI00B2LCFYuJSnGB,34,['musiikkia lapsille']
Hitta Castro,6LCNe51jAtBuorGsvbl65o,37,[]
Hobtron,6SjJBSusoxDyWisEECtaOG,33,[]
Vulpi,0GMDaA1RlRJbaE7gA8WEjJ,33,[]
Vulpey,6PaS2xqD0ZDpRnsmdT1Jaj,10,[]
Vulpinii,0TCCGYu9jyna5Fvk2wLWQF,9,[]
Christina Modestou,21uejta558No7qYG1Nmwn7,51,[]
LEGENDARY KATRINA EBONY,3ZQXuOs0Slazm5UcAMm0R7,46,[]
Kristinia DeBarge,5Z22vlK4DCgDrQgBEqfc8w,44,"['dance pop', 'electropop', 'post-teen pop']"
Vysionr,1uglG1JYPdOk61RgsUSiOm,35,[]
Vyn,2Z1VrO8wLfQDywgXWQEGNk,27,[]
Vyn,4Ffs8qFMeghZQXDs5x2RvX,29,[]
Vysion,4O5HqC6ulezx5DsFSLb8kR,3,[]
Vybz Kartel,2NUz5P42WqkxilbI8ocN76,66,"['dancehall', 'jamaican dancehall', 'reggae fusion']"
Vybez Music Group,2zEODMVYbwqkhNgYSmfkuI,23,[]
Vybez Cartel,0GsZLtEGLQ83TChF3uVhu8,23,['dancehall']
Whiskey Myers,26opZSJcXshCmCwxgZQmBc,67,"['modern southern rock', 'texas country']"
