artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['5r1bdqzhgRoHC3YcCV6N5a'],215000,False,0mZz64cFmmvVCY03XgqnHv,Rock In Space,0.313,0.95,-4.091,0.075,1.75e-05,0.174,0.382,0.33,143.0
['5r1bdqzhgRoHC3YcCV6N5a'],258333,False,37m17dZZHC1Jmnt7Zr9pSF,Why Don’t the Beautiful Cry - (demo version),0.629,0.531,-7.008,0.0304,0.312,2.98e-05,0.114,0.461,82.0
['5r1bdqzhgRoHC3YcCV6N5a'],242440,False,07Cmcpy3mbCAxNuZxW0JgR,Open Fire - Live,0.154,0.984,-4.514,0.102,0.00639,0.115,0.573,0.123,156.0
['5r1bdqzhgRoHC3YcCV6N5a'],256013,False,6O08bYqnXIg08Mla1RINuS,Love is Only a Feeling - Live,0.217,0.966,-4.793,0.106,0.00629,0.0228,0.933,0.404,81.0
['5r1bdqzhgRoHC3YcCV6N5a'],202773,False,2y6yGyibOUwk7bwTsORYqC,Southern Trains - Live,0.435,0.977,-5.294,0.37,0.0503,0.00167,0.725,0.0808,119.0
['5r1bdqzhgRoHC3YcCV6N5a'],229773,False,3zOEtFSm2AXkrDeJXOj1n3,Black Shuck - Live,0.182,0.967,-4.376,0.159,0.00398,0.0433,0.964,0.215,148.0
['5r1bdqzhgRoHC3YcCV6N5a'],272293,False,7zGFMzi80cvrlctikscoKN,One Way Ticket - Live,0.268,0.964,-4.78,0.232,0.0125,0.0288,0.657,0.197,139.0
['5r1bdqzhgRoHC3YcCV6N5a'],223026,False,4Lzh3XqYEsfHxhpJxlrpS1,Givin' Up - Live,0.358,0.973,-4.187,0.0888,0.00669,0.115,0.972,0.465,138.0
['5r1bdqzhgRoHC3YcCV6N5a'],196226,False,5WxOOIohxVAD2iugOFf2n6,All the Pretty Girls - Live,0.357,0.976,-4.511,0.106,0.000771,0.106,0.505,0.227,88.0
['5r1bdqzhgRoHC3YcCV6N5a'],257600,False,7vBqdvD6Qb2IgpEq3hjlvN,Barbarian - Live,0.181,0.903,-5.281,0.133,0.0343,0.404,0.948,0.0782,143.0
['5r1bdqzhgRoHC3YcCV6N5a'],242240,False,7IdVo60sIG4DDA0SZ4kcWz,Buccaneers of Hispaniola - Live,0.277,0.9,-4.716,0.191,0.0327,0.000466,0.919,0.319,155.0
['5r1bdqzhgRoHC3YcCV6N5a'],178093,False,173HHnXY9hm7Hq28VQYtTj,Friday Night - Live,0.301,0.946,-4.154,0.0822,0.00986,0.0431,0.917,0.264,136.0
['5r1bdqzhgRoHC3YcCV6N5a'],217933,False,2mczIIL02m5tTmPgEVRrg3,Makin' Out - Live,0.365,0.95,-4.084,0.0826,0.00213,0.015,0.929,0.446,136.0
['5r1bdqzhgRoHC3YcCV6N5a'],199013,False,6UaDVyjMgrFUEiFhVGOfpm,Every Inch of You - Live,0.262,0.916,-4.749,0.0883,0.00138,0.0104,0.991,0.305,134.0
['5r1bdqzhgRoHC3YcCV6N5a'],279400,False,31B4UI4FlCCnB3vjFYSyA8,Solid Gold - Live,0.454,0.942,-4.251,0.0832,0.0177,0.0293,0.816,0.253,132.0
['5r1bdqzhgRoHC3YcCV6N5a'],271613,False,0p7vjBgp2oB4hITcizE1z0,Stuck in a Rut - Live,0.284,0.941,-4.951,0.155,0.0227,0.109,0.953,0.258,144.0
['5r1bdqzhgRoHC3YcCV6N5a'],225440,False,5g8DVVDNaakxvPR0Y7untR,Get Your Hands off My Woman - Live,0.188,0.965,-4.678,0.328,0.0249,0.00127,0.615,0.104,166.0
['5r1bdqzhgRoHC3YcCV6N5a'],235560,False,2xNi3C0wBSEcaudpUXp52j,Growing on Me - Live,0.177,0.973,-4.057,0.105,0.0013,0.0352,0.989,0.24,141.0
['5r1bdqzhgRoHC3YcCV6N5a'],272053,False,2UxD1Zdltqol7O0W9XJwtE,Japanese Prisoner of Love - Live,0.223,0.975,-4.892,0.227,0.0195,0.101,0.95,0.143,78.0
